,video_id,video_frame,fold
0,0,0,4
1,0,1,4
2,0,2,4
3,0,3,4
4,0,4,4
5,0,5,4
6,0,6,4
7,0,7,4
8,0,8,4
9,0,9,4
10,0,10,4
11,0,11,4
12,0,12,4
13,0,13,4
14,0,14,4
15,0,15,4
16,0,16,3
17,0,17,3
18,0,18,3
19,0,19,3
20,0,20,3
21,0,21,3
22,0,22,3
23,0,23,3
24,0,24,3
25,0,25,3
26,0,26,3
27,0,27,3
28,0,28,3
29,0,29,3
30,0,30,3
31,0,31,3
32,0,32,3
33,0,33,3
34,0,34,3
35,0,35,3
36,0,36,3
37,0,37,3
38,0,38,3
39,0,39,3
40,0,40,3
41,0,41,3
42,0,42,3
43,0,43,3
44,0,44,3
45,0,45,3
46,0,46,3
47,0,47,3
48,0,48,3
49,0,49,3
50,0,50,3
51,0,51,3
52,0,52,3
53,0,53,3
54,0,54,3
55,0,55,3
56,0,56,3
57,0,57,3
58,0,58,3
59,0,59,3
60,0,60,3
61,0,61,3
62,0,62,3
63,0,63,3
64,0,64,3
65,0,65,3
66,0,66,3
67,0,67,3
68,0,68,3
69,0,69,3
70,0,70,3
71,0,71,3
72,0,72,3
73,0,73,3
74,0,74,3
75,0,75,3
76,0,76,3
77,0,77,3
78,0,78,3
79,0,79,3
80,0,80,3
81,0,81,3
82,0,82,3
83,0,83,3
84,0,84,3
85,0,85,3
86,0,86,3
87,0,87,3
88,0,88,3
89,0,89,3
90,0,90,3
91,0,91,3
92,0,92,3
93,0,93,3
94,0,94,3
95,0,95,3
96,0,96,3
97,0,97,3
98,0,98,3
99,0,99,3
100,0,100,3
101,0,101,3
102,0,102,3
103,0,103,3
104,0,104,3
105,0,105,3
106,0,106,3
107,0,107,3
108,0,108,3
109,0,109,3
110,0,110,3
111,0,111,3
112,0,112,3
113,0,113,3
114,0,114,3
115,0,115,3
116,0,116,3
117,0,117,3
118,0,118,3
119,0,119,3
120,0,120,3
121,0,121,3
122,0,122,3
123,0,123,3
124,0,124,3
125,0,125,3
126,0,126,3
127,0,127,3
128,0,128,3
129,0,129,3
130,0,130,3
131,0,131,3
132,0,132,3
133,0,133,3
134,0,134,3
135,0,135,3
136,0,136,3
137,0,137,3
138,0,138,3
139,0,139,3
140,0,140,3
141,0,141,3
142,0,142,3
143,0,143,3
144,0,144,3
145,0,145,3
146,0,146,3
147,0,147,3
148,0,148,3
149,0,149,3
150,0,150,3
151,0,151,3
152,0,152,3
153,0,153,3
154,0,154,3
155,0,155,3
156,0,156,3
157,0,157,3
158,0,158,3
159,0,159,3
160,0,160,3
161,0,161,3
162,0,162,3
163,0,163,3
164,0,164,3
165,0,165,3
166,0,166,3
167,0,167,3
168,0,168,3
169,0,169,3
170,0,170,3
171,0,171,3
172,0,172,3
173,0,173,3
174,0,174,3
175,0,175,3
176,0,176,3
177,0,177,3
178,0,178,3
179,0,179,3
180,0,180,4
181,0,181,4
182,0,182,4
183,0,183,4
184,0,184,4
185,0,185,4
186,0,186,4
187,0,187,4
188,0,188,4
189,0,189,4
190,0,190,4
191,0,191,4
192,0,192,4
193,0,193,4
194,0,194,4
195,0,195,4
196,0,196,4
197,0,197,4
198,0,198,4
199,0,199,4
200,0,200,4
201,0,201,4
202,0,202,4
203,0,203,4
